video_id,publish_date,views,likes,dislikes,comments_disabled,ratings_disabled
id545,2018-02-04T23:54:08.000Z,3831,0,0,TRUE,TRUE
id826,2018-01-31T20:25:02.000Z,18336,0,0,FALSE,TRUE
id2617,2018-01-31T14:16:10.000Z,857336,0,0,FALSE,TRUE
id791,2018-01-31T16:25:47.000Z,322521,0,0,TRUE,TRUE
id1265,2018-02-04T20:27:38.000Z,35830721,0,0,TRUE,TRUE
id1299,2018-02-05T02:12:26.000Z,10697746,0,0,TRUE,TRUE
id826,2018-01-31T20:25:02.000Z,47682,0,0,FALSE,TRUE
id2617,2018-01-31T14:16:10.000Z,994983,0,0,FALSE,TRUE
id791,2018-01-31T16:25:47.000Z,322998,0,0,TRUE,TRUE
id1265,2018-02-04T20:27:38.000Z,40801423,0,0,TRUE,TRUE
id1299,2018-02-05T02:12:26.000Z,14882505,0,0,TRUE,TRUE
id826,2018-01-31T20:25:02.000Z,54155,0,0,FALSE,TRUE
id2617,2018-01-31T14:16:10.000Z,1016225,0,0,FALSE,TRUE
id1265,2018-02-04T20:27:38.000Z,44818108,0,0,TRUE,TRUE
,2018-02-05T02:12:26.000Z,14949494,0,0,TRUE,TRUE
id826,2018-01-31T20:25:02.000Z,59068,0,0,FALSE,TRUE
id1265,2018-02-04T20:27:38.000Z,48635732,0,0,TRUE,TRUE
id1299,2018-02-05T02:12:26.000Z,14973320,0,0,TRUE,TRUE
id1265,2018-02-04T20:27:38.000Z,51243149,0,0,TRUE,TRUE
id1299,2018-02-05T02:12:26.000Z,14992744,0,0,TRUE,TRUE
id1265,2018-02-04T20:27:38.000Z,53183123,0,0,TRUE,TRUE
id1299,2018-02-05T02:12:26.000Z,15014436,0,0,TRUE,TRUE
id1265,2018-02-04T20:27:38.000Z,54454945,0,0,TRUE,TRUE
id1299,2018-02-05T02:12:26.000Z,15034351,0,0,TRUE,TRUE
id1265,2018-02-04T20:27:38.000Z,55063465,0,0,TRUE,TRUE
id1299,2018-02-05T02:12:26.000Z,15045586,0,0,TRUE,TRUE
id1265,2018-02-04T20:27:38.000Z,56111957,0,0,TRUE,TRUE
id2235,2018-02-09T23:29:30.000Z,157494,0,0,FALSE,TRUE
id2235,2018-02-09T23:29:30.000Z,180837,0,0,FALSE,TRUE
id711,2018-02-14T18:14:24.000Z,134817,0,0,FALSE,TRUE
id2235,2018-02-09T23:29:30.000Z,191971,0,0,FALSE,TRUE
id711,2018-02-14T18:14:24.000Z,187181,0,0,FALSE,TRUE
,2018-02-09T23:29:30.000Z,198648,0,0,FALSE,TRUE
id5925,2018-02-18T19:57:11.000Z,59606,0,0,TRUE,TRUE
id711,2018-02-14T18:14:24.000Z,252254,0,0,FALSE,TRUE
id2235,2018-02-09T23:29:30.000Z,202879,0,0,FALSE,TRUE
id5925,2018-02-18T19:57:11.000Z,281860,0,0,TRUE,TRUE
id711,2018-02-14T18:14:24.000Z,300945,0,0,FALSE,TRUE
id5925,2018-02-18T19:57:11.000Z,459491,0,0,TRUE,TRUE
id711,2018-02-14T18:14:24.000Z,331338,0,0,FALSE,TRUE
id5925,2018-02-18T19:57:11.000Z,593311,0,0,TRUE,TRUE
id711,2018-02-14T18:14:24.000Z,352319,0,0,FALSE,TRUE
id5925,2018-02-18T19:57:11.000Z,759160,0,0,TRUE,TRUE
,2018-02-18T19:57:11.000Z,923299,0,0,TRUE,TRUE
id5925,2018-02-18T19:57:11.000Z,1011961,0,0,TRUE,TRUE
id3679,,745936,0,0,TRUE,TRUE
id3679,2018-03-02T18:00:04.000Z,839375,0,0,,TRUE
id3679,2018-03-02T18:00:04.000Z,886203,0,0,TRUE,TRUE
id3679,2018-03-02T18:00:04.000Z,904517,0,0,TRUE,TRUE
id1153,2018-03-04T03:06:16.000Z,593426,0,0,TRUE,TRUE
id3679,2018-03-02T18:00:04.000Z,912549,0,0,TRUE,TRUE
id1153,2018-03-04T03:06:16.000Z,797014,0,0,TRUE,TRUE
id3679,2018-03-02T18:00:04.000Z,917494,0,0,TRUE,TRUE
id1153,2018-03-04T03:06:16.000Z,905268,,0,TRUE,TRUE
id3679,2018-03-02T18:00:04.000Z,921077,0,0,TRUE,TRUE
id1153,2018-03-04T03:06:16.000Z,947039,0,0,TRUE,TRUE
id3679,2018-03-02T18:00:04.000Z,923870,0,0,TRUE,TRUE
id1153,2018-03-04T03:06:16.000Z,971082,0,0,TRUE,TRUE
id3679,2018-03-02T18:00:04.000Z,926291,0,0,TRUE,TRUE
id946,,639517,0,0,FALSE,TRUE
